"date","CPI","Mortgage_rate","Unemp_rate","NASDAQ","disposable_income","Personal_consumption_expenditure","personal_savings","value"
1980-11-01,85.6,14.205,7.5,200.685555555556,4976.5,1826.8,11.6,1595.8
1980-12-01,86.4,14.79,7.2,198.398636363636,4999.8,1851.7,11.4,1599.8
1981-01-01,87.2,14.904,7.5,198.817619047619,4980.4,1870,10.9,1606.9
1981-02-01,88,15.1325,7.4,194.852105263158,4965,1884.2,10.8,1618.7
1981-03-01,88.6,15.4,7.4,203.593181818182,4979,1902.9,10.8,1636.6
1981-04-01,89.1,15.58,7.2,215.12,4965.1,1904.4,10.9,1659.2
1981-05-01,89.7,16.402,7.5,216.5435,4974.8,1913.8,11,1664.2
1981-06-01,90.5,16.695,7.5,220.040454545455,5001.9,1934.5,10.8,1670.3
1981-07-01,91.5,16.832,7.2,209.720909090909,5080.8,1942.1,12.3,1681.9
1981-08-01,92.2,17.285,7.4,206.62619047619,5095.9,1966.6,12,1694.3
1981-09-01,93.1,18.16,7.6,185.372380952381,5087.2,1965.5,12.4,1706
1981-10-01,93.4,18.454,7.9,190.201363636364,5093.8,1963.9,13,1721.8
1981-11-01,93.8,17.825,8.3,199.229,5096.9,1970.6,13.2,1736.1
1981-12-01,94.1,16.946,8.5,197.149545454545,5090.2,1988.8,12.5,1755.5
1982-01-01,94.4,17.485,8.6,187.6785,5096.9,1997.1,12.7,1770.4
1982-02-01,94.7,17.5975,8.9,182.628421052632,5110.8,2021.2,12.1,1774.5
1982-03-01,94.7,17.16,9,173.283913043478,5110,2024.1,12.2,1786.5
1982-04-01,95,16.892,9.3,181.844285714286,5160.6,2026.3,12.9,1803.9
1982-05-01,95.9,16.6775,9.4,184.607,5139,2044.5,12.3,1815.4
1982-06-01,97,16.6975,9.6,172.075,5110.7,2048.1,12.3,1826
1982-07-01,97.5,16.816,9.8,169.625238095238,5157,2072.2,12.5,1831.5
1982-08-01,97.7,16.27,9.8,167.382727272727,5164.7,2080.1,12.6,1845.2
1982-09-01,97.7,15.43,10.1,185.092857142857,5162.4,2104.6,11.8,1858.4
1982-10-01,98.1,14.608,10.4,203.861904761905,5156.3,2125.8,11.3,1869.7
1982-11-01,98,13.825,10.8,226.970476190476,5176.1,2149.3,10.9,1883.7
1982-12-01,97.7,13.624,10.8,233.030454545455,5200.2,2161.6,10.9,1905.9
1983-01-01,97.9,13.2475,10.4,241.478095238095,5217.2,2174,11.1,1959.4
1983-02-01,98,13.0425,10.4,256.058421052632,5218.8,2177,11.1,1996.8
1983-03-01,98.1,12.8,10.3,266.452173913043,5243.3,2202.8,10.6,2015.2
1983-04-01,98.8,12.782,10.2,279.528,5254.4,2226.4,10.3,2028.6
1983-05-01,99.2,12.6325,10.1,302.438095238095,5264.8,2245.9,9.9,2043.1
1983-06-01,99.4,12.87,10.1,319.349090909091,5268.9,2276,9.1,2053.5
1983-07-01,99.8,13.422,9.4,316.094,5335.3,2304.4,9.6,2064.8
1983-08-01,100.1,13.81,9.5,296.873913043478,5325.3,2320.4,9.2,2074
1983-09-01,100.4,13.726,9.2,300.37,5364.1,2334.9,9.6,2083.2
1983-10-01,100.8,13.535,8.8,286.722857142857,5412.5,2357.6,9.7,2099.2
1983-11-01,101.1,13.435,8.5,278.666666666667,5459.7,2366.3,10.3,2112.3
1983-12-01,101.4,13.42,8.3,278.655714285714,5509.4,2393.6,10.1,2123.5
1984-01-01,102.1,13.3675,8,282.004285714286,5535.1,2419.4,10,2138.2
1984-02-01,102.6,13.2325,7.8,254.3865,5568.2,2403.5,11.7,2158.2
1984-03-01,102.9,13.386,7.8,251.25,5605.1,2431.6,11.5,2175.2
1984-04-01,103.3,13.6525,7.7,245.207,5643.8,2457.5,11.5,2191.7
1984-05-01,103.5,13.9425,7.4,245.243181818182,5652.5,2474.5,11.1,2204.1
1984-06-01,103.7,14.416,7.2,238.51619047619,5690.2,2495.6,11.1,2215.1
1984-07-01,104.1,14.6675,7.5,232.40380952381,5697.4,2494.6,11.6,2223.5
1984-08-01,104.4,14.47,7.5,250.346086956522,5736.2,2512.2,11.8,2230.4
1984-09-01,104.7,14.35,7.3,252.004736842105,5777,2533.8,11.8,2244.4
1984-10-01,105.1,14.13,7.4,247.153913043478,5755.4,2531.3,11.7,2258.9
1984-11-01,105.3,13.638,7.2,246.398095238095,5780.3,2571.4,10.9,2281.4
1984-12-01,105.5,13.18,7.3,241.912,5815.5,2582.6,11.2,2306.4
1985-01-01,105.7,13.075,7.3,260.798636363636,5813.6,2618.8,10.3,2332.4
1985-02-01,106.3,12.92,7.2,285.521052631579,5759.7,2640.8,9.1,2354.1
1985-03-01,106.8,13.17,7.2,280.796666666667,5733,2648.5,8.7,2366.2
1985-04-01,107,13.195,7.3,280.894761904762,5828.1,2659.5,9.9,2375.4
